Epoch,Training Loss,Validation Loss,Accuracy,F1,Precision,Recall
1,1.587600,1.611073,0.321500,0.119913,0.138510,0.186231
2,1.450200,1.281923,0.519000,0.212879,0.219829,0.270616
3,1.207700,1.213797,0.565000,0.298869,0.399613,0.345628
4,0.998900,0.892719,0.694500,0.457578,0.428837,0.491205
5,0.779400,0.739857,0.758000,0.567618,0.600610,0.577580
6,0.592000,0.565920,0.801000,0.640094,0.789237,0.628162
7,0.438300,0.432106,0.853500,0.804317,0.816601,0.795422
8,0.336800,0.370875,0.874000,0.836859,0.841966,0.832436
9,0.275400,0.344415,0.879500,0.843350,0.857576,0.832555
10,0.243200,0.330544,0.887000,0.853473,0.854444,0.853346
