Epoch,Training Loss,Validation Loss,Accuracy,F1,Precision,Recall
1,1.577100,1.486996,0.429000,0.163248,0.189747,0.213731
2,1.277200,1.138317,0.597000,0.348790,0.433023,0.359688
3,0.895400,0.653184,0.765000,0.565679,0.808875,0.578061
4,0.434600,0.346145,0.880000,0.853352,0.849327,0.860370
5,0.276900,0.282254,0.892000,0.866444,0.858913,0.876670
6,0.209600,0.261753,0.897000,0.868490,0.880260,0.859022
7,0.180000,0.305125,0.894500,0.863360,0.878797,0.857360
8,0.142300,0.293964,0.894500,0.866761,0.866053,0.869668
9,0.129500,0.304896,0.900000,0.877200,0.875491,0.886380
10,0.113900,0.384433,0.884500,0.866719,0.863114,0.880219
11,0.106100,0.343574,0.897500,0.872436,0.884435,0.863195
12,0.082700,0.344974,0.901000,0.874541,0.873236,0.876138
13,0.070500,0.349819,0.900500,0.873467,0.883922,0.866824
14,0.060700,0.387959,0.901000,0.878797,0.865197,0.897686
15,0.052100,0.367818,0.906000,0.883058,0.881467,0.885918
16,0.045900,0.414505,0.899000,0.875991,0.885892,0.868404
17,0.038900,0.426097,0.897000,0.873191,0.881188,0.866717
18,0.033500,0.413396,0.900000,0.875947,0.873412,0.879398
19,0.025900,0.431795,0.900000,0.875751,0.875674,0.876381
20,0.024500,0.438636,0.897000,0.871809,0.869534,0.874780
