Epoch,Training Loss,Validation Loss,Accuracy,F1,Precision,Recall
1,0.769400,0.251315,0.911500,0.883513,0.883941,0.885718
2,0.183400,0.155429,0.936500,0.912699,0.908390,0.918431
3,0.122200,0.149805,0.943500,0.922927,0.917500,0.929934
4,0.092400,0.145716,0.934000,0.908314,0.910186,0.908816
5,0.072600,0.185689,0.933500,0.908064,0.916194,0.902311
6,0.056200,0.179461,0.942500,0.919580,0.922321,0.919626
7,0.045400,0.194537,0.936500,0.914587,0.914123,0.915262
8,0.032900,0.210405,0.937500,0.916841,0.913302,0.921114
9,0.028600,0.218211,0.938500,0.918627,0.917695,0.919721
10,0.022600,0.220059,0.939000,0.918173,0.922552,0.914012
